Type,Air temperature C,Process temperature C,Rotational speed rpm,Torque Nm,Tool wear min,Target,Failure Type,dateTime,Temperature difference C
M,25.950000000000045,36.450000000000045,1551,42.8,0,0,No Failure,2022-01-22 13:00:00,10.5
L,26.05000000000001,36.55000000000001,1408,46.3,3,0,No Failure,2022-01-22 13:00:05,10.5
L,25.950000000000045,36.35000000000002,1498,49.4,5,0,No Failure,2022-01-22 13:00:10,10.399999999999977
L,26.05000000000001,36.450000000000045,1433,39.5,7,0,No Failure,2022-01-22 13:00:15,10.400000000000034
L,26.05000000000001,36.55000000000001,1408,40.0,9,0,No Failure,2022-01-22 13:00:20,10.5
M,25.950000000000045,36.450000000000045,1425,41.9,11,0,No Failure,2022-01-22 13:00:25,10.5
L,25.950000000000045,36.450000000000045,1558,42.4,14,0,No Failure,2022-01-22 13:00:30,10.5
L,25.950000000000045,36.450000000000045,1527,40.2,16,0,No Failure,2022-01-22 13:00:35,10.5
M,26.150000000000034,36.55000000000001,1667,28.6,18,0,No Failure,2022-01-22 13:00:40,10.399999999999977
M,26.350000000000023,36.85000000000002,1741,28.0,21,0,No Failure,2022-01-22 13:00:45,10.5
H,26.25,36.75,1782,23.9,24,0,No Failure,2022-01-22 13:00:50,10.5
H,26.450000000000045,36.950000000000045,1423,44.3,29,0,No Failure,2022-01-22 13:00:55,10.5
M,26.450000000000045,36.950000000000045,1339,51.1,34,0,No Failure,2022-01-22 13:01:00,10.5
M,26.450000000000045,37.05000000000001,1742,30.0,37,0,No Failure,2022-01-22 13:01:05,10.599999999999966
L,26.450000000000045,37.05000000000001,2035,19.6,40,0,No Failure,2022-01-22 13:01:10,10.599999999999966
L,26.450000000000045,37.05000000000001,1542,48.4,42,0,No Failure,2022-01-22 13:01:15,10.599999999999966
M,26.450000000000045,37.05000000000001,1311,46.6,44,0,No Failure,2022-01-22 13:01:20,10.599999999999966
M,26.55000000000001,37.05000000000001,1410,45.6,47,0,No Failure,2022-01-22 13:01:25,10.5
H,26.650000000000034,37.05000000000001,1306,54.5,50,0,No Failure,2022-01-22 13:01:30,10.399999999999977
M,26.75,37.150000000000034,1632,32.5,55,0,No Failure,2022-01-22 13:01:35,10.400000000000034
H,26.75,37.150000000000034,1375,42.7,58,0,No Failure,2022-01-22 13:01:40,10.400000000000034
L,26.650000000000034,37.150000000000034,1450,44.8,63,0,No Failure,2022-01-22 13:01:45,10.5
M,26.75,37.150000000000034,1581,30.7,65,0,No Failure,2022-01-22 13:01:50,10.400000000000034
L,26.850000000000023,37.25,1758,25.7,68,0,No Failure,2022-01-22 13:01:55,10.399999999999977
M,26.850000000000023,37.25,1561,37.3,70,0,No Failure,2022-01-22 13:02:00,10.399999999999977
L,26.850000000000023,37.35000000000002,1861,23.3,73,0,No Failure,2022-01-22 13:02:05,10.5
L,26.950000000000045,37.35000000000002,1512,39.0,75,0,No Failure,2022-01-22 13:02:10,10.399999999999977
H,26.950000000000045,37.25,1811,24.6,77,0,No Failure,2022-01-22 13:02:15,10.299999999999955
L,26.950000000000045,37.25,1439,44.2,82,0,No Failure,2022-01-22 13:02:20,10.299999999999955
L,26.850000000000023,37.25,1693,30.1,84,0,No Failure,2022-01-22 13:02:25,10.399999999999977
M,26.950000000000045,37.35000000000002,1339,48.2,86,0,No Failure,2022-01-22 13:02:30,10.399999999999977
L,26.850000000000023,37.25,1798,25.5,89,0,No Failure,2022-01-22 13:02:35,10.399999999999977
L,26.850000000000023,37.25,1419,48.3,91,0,No Failure,2022-01-22 13:02:40,10.399999999999977
L,26.75,37.150000000000034,1665,32.5,93,0,No Failure,2022-01-22 13:02:45,10.400000000000034
M,26.650000000000034,36.950000000000045,1559,34.7,95,0,No Failure,2022-01-22 13:02:50,10.300000000000011
M,26.650000000000034,37.05000000000001,1452,48.6,98,0,No Failure,2022-01-22 13:02:55,10.399999999999977
M,26.75,37.05000000000001,1581,36.7,101,0,No Failure,2022-01-22 13:03:00,10.300000000000011
L,26.650000000000034,36.950000000000045,1439,39.2,104,0,No Failure,2022-01-22 13:03:05,10.300000000000011
H,26.75,37.05000000000001,1379,50.7,106,0,No Failure,2022-01-22 13:03:10,10.300000000000011
L,26.650000000000034,36.950000000000045,1350,52.5,111,0,No Failure,2022-01-22 13:03:15,10.300000000000011
L,26.650000000000034,36.950000000000045,1362,45.4,113,0,No Failure,2022-01-22 13:03:20,10.300000000000011
L,26.650000000000034,36.950000000000045,1368,50.8,115,0,No Failure,2022-01-22 13:03:25,10.300000000000011
M,26.650000000000034,36.950000000000045,1368,49.1,117,0,No Failure,2022-01-22 13:03:30,10.300000000000011
H,26.650000000000034,37.05000000000001,1372,48.5,120,0,No Failure,2022-01-22 13:03:35,10.399999999999977
M,26.650000000000034,36.950000000000045,1472,47.5,125,0,No Failure,2022-01-22 13:03:40,10.300000000000011
L,26.650000000000034,36.950000000000045,1489,49.1,128,0,No Failure,2022-01-22 13:03:45,10.300000000000011
M,26.55000000000001,36.85000000000002,1843,25.8,130,0,No Failure,2022-01-22 13:03:50,10.300000000000011
L,26.650000000000034,36.950000000000045,1418,46.3,133,0,No Failure,2022-01-22 13:03:55,10.300000000000011
H,26.650000000000034,37.05000000000001,1425,53.9,135,0,No Failure,2022-01-22 13:04:00,10.399999999999977
M,26.75,37.05000000000001,1412,44.1,140,0,No Failure,2022-01-22 13:04:05,10.300000000000011
L,26.75,36.950000000000045,2861,4.6,143,1,Power Failure,2022-01-22 13:04:10,10.200000000000045
L,26.75,36.950000000000045,1383,54.9,145,0,No Failure,2022-01-22 13:04:15,10.200000000000045
H,26.650000000000034,36.85000000000002,1497,43.8,147,0,No Failure,2022-01-22 13:04:20,10.199999999999989
L,26.55000000000001,36.85000000000002,1565,35.1,152,0,No Failure,2022-01-22 13:04:25,10.300000000000011
L,26.55000000000001,36.85000000000002,1691,30.1,154,0,No Failure,2022-01-22 13:04:30,10.300000000000011
L,26.650000000000034,36.950000000000045,1512,40.7,156,0,No Failure,2022-01-22 13:04:35,10.300000000000011
L,26.650000000000034,36.950000000000045,1477,42.4,158,0,No Failure,2022-01-22 13:04:40,10.300000000000011
L,26.650000000000034,36.950000000000045,1513,40.3,160,0,No Failure,2022-01-22 13:04:45,10.300000000000011
M,26.650000000000034,36.85000000000002,1661,29.5,162,0,No Failure,2022-01-22 13:04:50,10.199999999999989
L,26.650000000000034,36.950000000000045,1378,54.4,165,0,No Failure,2022-01-22 13:04:55,10.300000000000011
L,26.650000000000034,36.950000000000045,1393,52.6,167,0,No Failure,2022-01-22 13:05:00,10.300000000000011
M,26.650000000000034,36.85000000000002,1592,38.2,169,0,No Failure,2022-01-22 13:05:05,10.199999999999989
