Type,Air temperature C,Process temperature C,Rotational speed rpm,Torque Nm,Tool wear min,Target,Failure Type,dateTime,Temperature difference C
M,25.950000000000045,36.450000000000045,1551,42.8,0,0,No Failure,2022-01-22 13:00:00,10.5
M,25.950000000000045,36.450000000000045,1425,41.9,11,0,No Failure,2022-01-22 13:00:25,10.5
M,26.150000000000034,36.55000000000001,1667,28.6,18,0,No Failure,2022-01-22 13:00:40,10.399999999999977
M,26.350000000000023,36.85000000000002,1741,28.0,21,0,No Failure,2022-01-22 13:00:45,10.5
M,26.450000000000045,36.950000000000045,1339,51.1,34,0,No Failure,2022-01-22 13:01:00,10.5
M,26.450000000000045,37.05000000000001,1742,30.0,37,0,No Failure,2022-01-22 13:01:05,10.599999999999966
M,26.450000000000045,37.05000000000001,1311,46.6,44,0,No Failure,2022-01-22 13:01:20,10.599999999999966
M,26.55000000000001,37.05000000000001,1410,45.6,47,0,No Failure,2022-01-22 13:01:25,10.5
M,26.75,37.150000000000034,1632,32.5,55,0,No Failure,2022-01-22 13:01:35,10.400000000000034
M,26.75,37.150000000000034,1581,30.7,65,0,No Failure,2022-01-22 13:01:50,10.400000000000034
M,26.850000000000023,37.25,1561,37.3,70,0,No Failure,2022-01-22 13:02:00,10.399999999999977
M,26.950000000000045,37.35000000000002,1339,48.2,86,0,No Failure,2022-01-22 13:02:30,10.399999999999977
M,26.650000000000034,36.950000000000045,1559,34.7,95,0,No Failure,2022-01-22 13:02:50,10.300000000000011
M,26.650000000000034,37.05000000000001,1452,48.6,98,0,No Failure,2022-01-22 13:02:55,10.399999999999977
M,26.75,37.05000000000001,1581,36.7,101,0,No Failure,2022-01-22 13:03:00,10.300000000000011
M,26.650000000000034,36.950000000000045,1368,49.1,117,0,No Failure,2022-01-22 13:03:30,10.300000000000011
M,26.650000000000034,36.950000000000045,1472,47.5,125,0,No Failure,2022-01-22 13:03:40,10.300000000000011
M,26.55000000000001,36.85000000000002,1843,25.8,130,0,No Failure,2022-01-22 13:03:50,10.300000000000011
M,26.75,37.05000000000001,1412,44.1,140,0,No Failure,2022-01-22 13:04:05,10.300000000000011
M,26.650000000000034,36.85000000000002,1661,29.5,162,0,No Failure,2022-01-22 13:04:50,10.199999999999989
M,26.650000000000034,36.85000000000002,1592,38.2,169,0,No Failure,2022-01-22 13:05:05,10.199999999999989
M,26.75,36.85000000000002,1812,25.9,174,0,No Failure,2022-01-22 13:05:15,10.100000000000023
M,26.75,36.75,1679,28.7,181,0,No Failure,2022-01-22 13:05:30,10.0
M,26.75,36.85000000000002,1924,22.6,193,0,No Failure,2022-01-22 13:05:50,10.100000000000023
M,26.850000000000023,36.85000000000002,1804,26.8,17,0,No Failure,2022-01-22 13:07:05,10.0
M,26.850000000000023,36.85000000000002,1419,45.2,27,0,No Failure,2022-01-22 13:07:20,10.0
M,26.75,36.75,1487,39.5,30,0,No Failure,2022-01-22 13:07:25,10.0
M,26.75,36.75,1727,27.1,37,0,No Failure,2022-01-22 13:07:40,10.0
M,26.850000000000023,36.85000000000002,1351,52.2,44,0,No Failure,2022-01-22 13:07:55,10.0
M,26.850000000000023,36.85000000000002,1575,35.3,47,0,No Failure,2022-01-22 13:08:00,10.0
M,26.75,36.75,1750,29.9,50,0,No Failure,2022-01-22 13:08:05,10.0
M,26.650000000000034,36.650000000000034,1441,40.5,63,0,No Failure,2022-01-22 13:08:35,10.0
M,26.650000000000034,36.650000000000034,1497,46.8,72,0,No Failure,2022-01-22 13:08:55,10.0
M,26.650000000000034,36.55000000000001,1498,39.5,89,0,No Failure,2022-01-22 13:09:20,9.899999999999977
M,26.650000000000034,36.450000000000045,1486,41.9,92,0,No Failure,2022-01-22 13:09:25,9.800000000000011
M,26.650000000000034,36.450000000000045,1707,28.1,103,0,No Failure,2022-01-22 13:09:50,9.800000000000011
M,26.55000000000001,36.25,1441,43.2,132,0,No Failure,2022-01-22 13:11:00,9.699999999999989
